variant,seed,ndcg@5,ndcg@10,ndcg@20,recall@5,recall@10,recall@20,hr@5,hr@10,hr@20,n_users,cold_ndcg@10,cold_recall@10,cold_hr@10,cold_n_users,rmse,mae
mse_mf,42,0.1884489065341182,0.17295068510110015,0.1618132945456489,0.028853215142251705,0.05122686982723603,0.08454151831967874,0.4612286002014099,0.581067472306143,0.6938569989929506,993.0,0.025946288322830954,0.04481132075471698,0.0660377358490566,106.0,0.8992978930473328,0.7058190703392029
mse_mf,123,0.19971612773867867,0.18255963975211134,0.1688797866209631,0.03296710180593631,0.052953363331409146,0.08367900977312466,0.4823766364551863,0.594159113796576,0.6968781470292045,993.0,0.020642628540651617,0.04009433962264151,0.0660377358490566,106.0,0.9004677534103394,0.7075693607330322
mse_mf,2024,0.1988190121466991,0.18300609622668185,0.17171131190580868,0.03220867909300472,0.0529271517683141,0.08848627811397924,0.473313192346425,0.594159113796576,0.701913393756294,993.0,0.020893344330959702,0.04481132075471698,0.0660377358490566,106.0,0.9028502106666565,0.7084702849388123
bpr_mf,42,0.24428700006262247,0.23037249581584646,0.22005377963223918,0.03872868952471003,0.06753549837856491,0.11059294280426855,0.5508559919436052,0.6606243705941591,0.7542799597180262,993.0,0.027838333909934232,0.05011792452830189,0.08490566037735849,106.0,,
bpr_mf,123,0.24611626751349122,0.23322995379733344,0.21930656007816735,0.04033532253760524,0.06730681033089429,0.10900846566327625,0.5609264853977844,0.6696878147029205,0.7542799597180262,993.0,0.026133579536831646,0.0422562893081761,0.07547169811320754,106.0,,
bpr_mf,2024,0.2440631286317725,0.2337284132783939,0.2226978809425943,0.03932621356512438,0.06894392756302908,0.11466822462988374,0.5498489425981873,0.6777442094662638,0.7673716012084593,993.0,0.03560826896698669,0.0752751572327044,0.11320754716981132,106.0,,
llm_only,42,0.17570351499978634,0.16691824995121884,0.16571689497981115,0.02817711355340688,0.049350659873414034,0.08958270317816294,0.45417925478348437,0.5850956696878147,0.7089627391742196,993.0,0.030876804017482145,0.05286949685534591,0.09433962264150944,106.0,,
llm_only,123,0.18981869035101728,0.18203194452507504,0.1754770622649841,0.03214240933937221,0.05367558461919469,0.09742268859845556,0.49345417925478346,0.6203423967774421,0.7190332326283988,993.0,0.027738219266049927,0.05837264150943396,0.07547169811320754,106.0,,
llm_only,2024,0.18594696734828875,0.1731582574653601,0.16775749889478156,0.03060559248698715,0.05050205101717748,0.09036404656369215,0.47633434038267874,0.5991943605236657,0.702920443101712,993.0,0.03906227923755833,0.08136792452830188,0.10377358490566038,106.0,,
llm_init,42,0.23564164551656186,0.22237806974967564,0.21025007374817392,0.038220737567705464,0.06240846084371684,0.10247767690653362,0.5417925478348439,0.648539778449144,0.7391742195367573,993.0,0.03163889852457842,0.06112421383647798,0.10377358490566038,106.0,,
