variant,recall@5_mean,recall@5_std,cold_hr@10_mean,cold_hr@10_std,cold_n_users_mean,cold_n_users_std,hr@10_mean,hr@10_std,recall@10_mean,recall@10_std,cold_recall@10_mean,cold_recall@10_std,n_users_mean,n_users_std,recall@20_mean,recall@20_std,hr@5_mean,hr@5_std,ndcg@10_mean,ndcg@10_std,mae_mean,mae_std,ndcg@5_mean,ndcg@5_std,ndcg@20_mean,ndcg@20_std,rmse_mean,rmse_std,hr@20_mean,hr@20_std,cold_ndcg@10_mean,cold_ndcg@10_std
mse_mf,0.031342998680397575,0.0017875621766322357,0.0660377358490566,0.0,106.0,0.0,0.589795233299765,0.006171458983165588,0.05236912830898643,0.0008077696003432367,0.04323899371069182,0.0022236062301463754,993.0,0.0,0.08556893540226089,0.0020927090292141904,0.472306143001007,0.008662966029247356,0.1795054736932978,0.004638517792156213,0.7072862386703491,0.0011007128872020252,0.19566134880649866,0.005113100608284476,0.16746813102414024,0.004162312302758091,0.9008719523747762,0.0014781232964536076,0.697549513259483,0.0033230932986276123,0.02249408706481409,0.0024432198354176486
bpr_mf,0.03946340854247988,0.0006630406000087111,0.09119496855345911,0.01603465255846788,106.0,0.0,0.6693521315877812,0.006993174439744739,0.06792874542416276,0.0007238879457907591,0.055883123689727456,0.014082839457593716,993.0,0.0,0.11142321103247617,0.0023840059966509794,0.5538771399798591,0.005001565768966531,0.23244362096385793,0.0014785770180839226,,,0.2448221320692954,0.0009196446833172899,0.22068607355100026,0.0014549022879334732,,,0.7586438402148371,0.006171458983165589,0.029860060804584188,0.004123749885471244
llm_only,0.03030837179325541,0.0016324108496607872,0.09119496855345914,0.011766218197402336,106.0,0.0,0.6015441423296409,0.014485027868675,0.05117609850326207,0.00182884271681833,0.06420335429769392,0.012343365388527807,993.0,0.0,0.09245647944677023,0.0035260978786982055,0.4746559248069822,0.016077784511350182,0.174036150647218,0.006201288212783803,,,0.1838230575663641,0.005954986054857207,0.16965048537985894,0.004203392656188912,,,0.7103054716347769,0.006646186597255232,0.032559100840363474,0.00477362025509551
llm_init,0.04006201106182458,0.001323579164608133,0.1037735849056604,0.007702797933280432,106.0,0.0,0.6552534407519301,0.004747276140896571,0.06469225798635644,0.0016911694974286124,0.06269654088050314,0.005883109098701171,993.0,0.0,0.10688718118987461,0.0035632834774417554,0.5532057737495805,0.008112149025575431,0.22689251071867375,0.003247446631684545,,,0.24163238837362577,0.004579360760946933,0.21556793881197014,0.004043062117278124,,,0.7468949311849614,0.006171458983165566,0.02880320769500654,0.0027565656962906843
semmf_mse_fixed,0.03851926704346589,0.0006164193270722174,0.07232704402515723,0.029162322312879574,106.0,0.0,0.6502181940248405,0.007369754414266584,0.06385993967753122,0.0005619593756176027,0.054638364779874216,0.022256898847314566,993.0,0.0,0.10655659757735463,0.0009479885516545803,0.536421617992615,0.0012560112073762772,0.22011408930466594,0.0030063712730544114,,,0.23266036693347095,0.003489940305645196,0.20997821166840716,0.001971207261827835,,,0.7485733467606579,0.001898910456358639,0.027900022189971552,0.012285066456929453
semmf_mse_adaptive,0.03899328683777031,0.0006473825053204201,0.10062893081761008,0.019384949694870996,106.0,0.0,0.6623027861698557,0.012037879205801372,0.06765655902109781,0.002759604321044051,0.06911687631027254,0.017180066460255525,993.0,0.0,0.11141286927484195,0.0037035834287094485,0.5448136958710977,0.0035841148882280313,0.22955654465109113,0.0031089482580670454,,,0.24219138988264802,0.002121706958910815,0.21889658367379783,0.002909884858363805,,,0.7593152064451157,0.008662966029247376,0.03580972439408169,0.006844642142472964
semmf_infonce,0.041195522511550904,0.00073700009083627,0.0880503144654088,0.004447212460292757,106.0,0.0,0.6616314199395771,0.005134964263436851,0.06628896285409587,0.0010285472251889195,0.050642033542976944,0.003230824949145165,993.0,0.0,0.1089208736403855,0.00234232330176414,0.553877139979859,0.006207869086574998,0.23016369760088828,0.002424429099236373,,,0.2448583880379064,0.0030865383006348506,0.21825062888459187,0.0021720417343272995,,,0.7542799597180262,0.006207869086574998,0.03301489333952967,0.006085461954529895
lightgcn,0.031617656674677634,0.0009555012553386823,0.028301886792452827,0.013341637380878254,106.0,0.0,0.5837529372272575,0.003797820912717278,0.05305450874013076,0.0005199221078770235,0.010416666666666666,0.0072106667955362195,993.0,0.0,0.0892648303937652,0.0013549416183236895,0.4823766364551863,0.007308338723423035,0.17281607825029255,0.0021042171265780174,,,0.18874151328879904,0.001539859068768702,0.1642644857627225,0.0008523587681525952,,,0.6861362873447465,0.009094472765454208,0.010436612947202108,0.0069134005292559855
